Entity,Code,Year,companies
China,CHN,2013,27
China,CHN,2014,43
China,CHN,2015,72
China,CHN,2016,69
China,CHN,2017,92
China,CHN,2018,205
China,CHN,2019,217
China,CHN,2020,192
China,CHN,2021,260
China,CHN,2022,147
China,CHN,2023,122
China,CHN,2024,109
Europe,,2013,60
Europe,,2014,86
Europe,,2015,97
Europe,,2016,125
Europe,,2017,183
Europe,,2018,250
Europe,,2019,242
Europe,,2020,275
Europe,,2021,379
Europe,,2022,311
Europe,,2023,393
Europe,,2024,447
United States,USA,2013,337
United States,USA,2014,352
United States,USA,2015,292
United States,USA,2016,402
United States,USA,2017,510
United States,USA,2018,516
United States,USA,2019,494
United States,USA,2020,547
United States,USA,2021,660
United States,USA,2022,502
United States,USA,2023,897
United States,USA,2024,1143
World,OWID_WRL,2013,495
World,OWID_WRL,2014,568
World,OWID_WRL,2015,572
World,OWID_WRL,2016,712
World,OWID_WRL,2017,983
World,OWID_WRL,2018,1234
World,OWID_WRL,2019,1198
World,OWID_WRL,2020,1406
World,OWID_WRL,2021,1876
World,OWID_WRL,2022,1601
World,OWID_WRL,2023,1891
World,OWID_WRL,2024,2049
