municipality,code,density
Ale,1440,102.82
Alingsås,1489,90.7
Alvesta,0764,20.29
Aneby,0604,13.24
Arboga,1984,42.83
Arjeplog,2506,0.2
Arvidsjaur,2505,1.07
Arvika,1784,15.43
Askersund,1882,13.97
Avesta,2084,36.55
Bengtsfors,1460,10.19
Berg,2326,1.24
Bjurholm,2403,1.79
Bjuv,1260,138.95
Boden,2582,7.09
Bollebygd,1443,37.13
Bollnäs,2183,14.39
Borgholm,0885,15.69
Borlänge,2081,87.99
Borås,1490,126.67
Botkyrka,0127,496.78
Boxholm,0560,10.33
Bromölla,1272,76.84
Bräcke,2305,1.76
Burlöv,1231,1078.62
Båstad,1278,74.11
Dals-Ed,1438,6.34
Danderyd,0162,1234.2
Degerfors,1862,24.15
Dorotea,2425,0.81
Eda,1730,10.14
Ekerö,0125,133.73
Eksjö,0686,22.15
Emmaboda,0862,12.88
Enköping,0381,41.47
Eskilstuna,0484,97.35
Eslöv,1285,83.76
Essunga,1445,23.68
Fagersta,1982,48.16
Falkenberg,1382,42.7
Falköping,1499,31.43
Falu,2080,29.36
Filipstad,1782,6.3
Finspång,0562,20.4
Flen,0482,21.17
Forshaga,1763,32.86
Färgelanda,1439,10.73
Gagnef,2026,13.45
Gislaved,0662,25.27
Gnesta,0461,24.59
Gnosjö,0617,21.55
Gotland,0980,19.47
Grums,1764,23.05
Grästorp,1444,21.11
Gullspång,1447,15.66
Gällivare,2523,1.09
Gävle,2180,64.53
Göteborg,1480,1369.23
Götene,1471,32.72
Habo,0643,41.15
Hagfors,1783,6.22
Hallsberg,1861,25.23
Hallstahammar,1961,97.63
Halmstad,1380,104.92
Hammarö,1761,285.46
Haninge,0136,221.53
Haparanda,2583,9.86
Heby,0331,12.24
Hedemora,2083,18.05
Helsingborg,1283,444.53
Herrljunga,1466,19.17
Hjo,1497,31.36
Hofors,2104,22.32
Huddinge,0126,876.28
Hudiksvall,2184,15.03
Hultsfred,0860,12.09
Hylte,1315,10.69
Håbo,0305,161.6
Hällefors,1863,6.37
Härjedalen,2361,0.89
Härnösand,2280,23.01
Härryda,1401,150.01
Hässleholm,1293,40.97
Höganäs,1284,198.67
Högsby,0821,6.89
Hörby,1266,37.0
Höör,1267,60.74
Jokkmokk,2510,0.27
Järfälla,0123,1677.32
Jönköping,0680,100.04
Kalix,2514,8.48
Kalmar,0880,76.25
Karlsborg,1446,17.42
Karlshamn,1082,64.83
Karlskoga,1883,64.23
Karlskrona,1080,63.5
Karlstad,1780,84.6
Katrineholm,0483,33.39
Kil,1715,33.44
Kinda,0513,8.8
Kiruna,2584,1.17
Klippan,1276,47.35
Knivsta,0330,76.62
Kramfors,2282,10.3
Kristianstad,1290,69.15
Kristinehamn,1781,31.32
Krokom,2309,2.56
Kumla,1881,111.09
Kungsbacka,1384,142.22
Kungsör,1960,42.35
Kungälv,1482,139.39
Kävlinge,1261,213.33
Köping,1983,42.49
Laholm,1381,30.11
Landskrona,1282,339.41
Laxå,1860,9.01
Lekeberg,1814,18.55
Leksand,2029,13.26
Lerum,1441,169.26
Lessebo,0761,19.89
Lidingö,0186,1573.02
Lidköping,1494,57.83
Lilla Edet,1462,45.83
Lindesberg,1885,16.73
Linköping,0580,118.19
Ljungby,0781,16.13
Ljusdal,2161,3.5
Ljusnarsberg,1864,7.47
Lomma,1262,444.96
Ludvika,2085,17.96
Luleå,2580,38.39
Lund,1281,310.09
Lycksele,2481,2.2
Lysekil,1484,66.46
Malmö,1280,2350.8
Malung-Sälen,2023,2.49
Malå,2418,1.83
Mariestad,1493,40.64
Mark,1463,37.82
Markaryd,0767,19.11
Mellerud,1461,17.63
Mjölby,0586,52.61
Mora,2062,7.27
Motala,0583,43.92
Mullsjö,0642,37.74
Munkedal,1430,16.19
Munkfors,1762,25.83
Mölndal,1481,492.79
Mönsterås,0861,21.67
Mörbylånga,0840,24.5
Nacka,0182,1193.32
Nora,1884,17.15
Norberg,1962,12.88
Nordanstig,2132,6.75
Nordmaling,2401,5.61
Norrköping,0581,96.98
Norrtälje,0188,33.18
Norsjö,2417,2.21
Nybro,0881,16.93
Nykvarn,0140,81.09
Nyköping,0480,41.08
Nynäshamn,0192,85.39
Nässjö,0682,33.84
Ockelbo,2101,5.37
Olofström,1060,33.04
Orsa,2034,4.0
Orust,1421,39.83
Osby,1273,22.34
Oskarshamn,0882,25.63
Ovanåker,2121,6.03
Oxelösund,0481,339.15
Pajala,2521,0.73
Partille,1402,724.4
Perstorp,1275,45.18
Piteå,2581,13.69
Ragunda,2303,2.05
Robertsfors,2409,5.13
Ronneby,1081,34.82
Rättvik,2031,5.72
Sala,1981,19.43
Salem,0128,321.62
