geo_id,name,density,area_km2,population
S12000033,Aberdeen City,1131,182,228990
S12000034,Aberdeenshire,38,6317,260500
S12000041,Angus,51,2184,116660
S12000035,Argyll and Bute,13,7023,87660
S12000005,Clackmannanshire,317,158,51190
S12000006,Dumfries and Galloway,23,6446,149940
S12000042,Dundee City,2375,55,148260
S12000008,East Ayrshire,95,1275,122150
S12000045,East Dunbartonshire,598,176,106730
S12000010,East Lothian,141,666,102050
S12000011,East Renfrewshire,512,168,92380
S12000036,City of Edinburgh,1786,260,492680
S12000014,Falkirk,510,293,157640
S12000047,Fife,273,1340,367260
S12000046,Glasgow City,3338,175,599650
S12000017,Highland,9,26484,233100
S12000018,Inverclyde,505,167,79860
S12000019,Midlothian,227,350,86210
S12000020,Moray,39,2237,94750
S12000013,Na h-Eileanan Siar,9,3070,27250
S12000021,North Ayrshire,153,888,136450
S12000044,North Lanarkshire,692,476,337950
S12000023,Orkney Islands,20,1025,21590
S12000048,Perth and Kinross,27,5395,148800
S12000038,Renfrewshire,650,263,174230
S12000026,Scottish Borders,24,4727,114030
S12000027,Shetland Islands,15,1471,23230
S12000028,South Ayrshire,92,1230,112510
S12000029,South Lanarkshire,175,1778,315360
S12000030,Stirling,40,2243,91580
S12000039,West Dunbartonshire,571,176,89730
S12000040,West Lothian,396,427,177150
