"country of birth","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Afghanistan",832,950,952,929,851,577,1592,816,971,1384,1824,3209,4167,3801,3436,2974,3607,9297,8093,6845,2270,2022,2732,2546,1436
"Albania",62,45,70,65,71,103,170,97,110,132,163,147,240,233,328,498,676,1085,1331,1445,911,759,1050,889,626
"Algeria",92,89,90,88,100,135,184,164,160,178,157,136,163,127,159,150,183,168,169,167,101,100,128,138,161
"Andorra",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,2,0,2,1,1
"Angola",23,34,41,38,33,33,97,35,25,39,23,23,28,20,19,17,32,24,31,29,22,19,17,29,18
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1
"Argentina",83,130,169,148,95,116,123,120,147,142,132,140,146,166,145,135,144,138,234,327,299,396,361,294,251
"Armenia",76,74,90,82,94,125,279,149,119,177,173,218,242,207,190,235,170,197,189,151,111,154,88,94,170
"Australia",357,336,313,321,322,295,368,367,397,399,422,426,353,394,443,501,527,537,553,427,319,303,401,373,376
"Austria",142,128,166,148,115,117,160,200,224,213,193,171,223,198,239,202,267,250,206,200,189,234,353,263,255
"Azerbaijan",27,50,38,84,154,212,830,145,119,172,218,232,229,203,196,177,230,160,197,260,223,203,184,177,297
"Bahamas",1,2,1,3,1,6,0,3,1,2,3,1,6,1,4,1,4,2,2,1,2,0,2,5,1
"Bahrain",4,3,4,6,6,4,7,6,9,7,8,12,7,14,16,7,16,14,12,12,20,15,8,9,6
"Bangladesh",146,163,188,246,277,417,393,446,522,737,970,433,449,408,498,576,611,1009,1508,1671,947,825,1098,975,1144
"Barbados",9,10,6,0,5,2,7,6,7,6,0,4,3,1,2,6,4,3,2,4,6,6,2,4,2
"Belarus",104,131,141,156,142,130,266,181,167,243,209,234,223,177,182,182,199,180,236,241,198,223,268,250,237
"Belgium",119,174,120,90,118,134,178,186,194,193,189,228,224,233,238,232,280,308,288,298,267,324,389,378,336
"Belize",1,0,0,0,0,1,1,1,2,2,0,1,1,4,3,2,1,1,0,3,1,3,3,1,1
"Benin",0,0,3,3,1,6,14,7,8,9,13,3,10,2,6,5,8,9,14,5,4,6,4,4,6
"Bermuda",0,1,3,2,0,2,0,1,2,5,2,0,5,6,2,3,1,3,3,2,1,11,1,2,0
"Bhutan",0,3,0,1,3,4,2,5,5,5,1,2,1,3,2,2,6,3,0,1,1,1,1,1,3
"Bolivia",97,82,104,111,116,102,233,206,225,309,336,306,219,157,164,167,116,123,101,107,60,64,105,113,78
"Bosnia and Herzegovina",1068,1022,1187,1405,975,718,1124,763,757,690,668,730,899,794,1034,1007,1093,1292,1153,1200,835,707,686,518,374
"Botswana",1,5,5,1,0,9,4,8,8,9,9,11,4,15,11,5,8,9,11,10,9,8,1,5,4
"Brazil",237,302,291,299,358,367,478,509,573,527,479,530,447,475,465,727,844,894,1161,1135,883,1235,1564,1033,993
"British Virgin Islands",0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,1,1,0,0,0,1,0
"Brunei",0,0,1,1,1,0,1,0,2,1,0,4,3,1,0,3,0,1,0,1,1,2,2,3,2
"Bulgaria",140,141,171,181,139,114,137,1071,869,700,591,555,658,713,769,673,598,551,464,389,296,323,509,509,364
"Burkina Faso",2,3,4,5,8,0,6,7,3,8,8,4,13,10,0,2,3,9,5,13,1,2,9,5,3
"Burundi",9,20,132,194,321,531,562,353,188,162,112,99,96,80,85,78,101,125,151,157,109,164,112,57,43
"Cambodia",13,14,10,13,12,24,21,21,31,36,32,31,25,45,36,41,36,41,37,48,28,31,37,24,21
"Cameroon",19,39,45,80,198,179,154,284,283,277,122,99,103,110,122,116,111,131,185,249,178,176,123,141,132
"Canada",239,209,245,234,206,208,253,273,276,356,359,313,350,346,378,384,388,416,393,411,276,345,323,313,341
"Cape Verde",12,11,12,7,12,7,14,13,7,6,10,14,16,6,11,17,8,21,14,9,2,13,14,12,7
"Central African Republic",1,1,14,0,9,20,11,2,9,4,1,11,2,10,10,1,0,12,42,74,2,23,13,14,2
"Chad",0,1,0,11,1,1,3,2,4,8,2,3,5,5,2,6,14,10,42,38,8,13,15,23,1
"Chile",589,624,574,570,567,516,578,537,515,550,502,432,455,358,330,319,315,369,386,422,276,300,287,294,280
"China",909,1060,1204,1434,1563,1749,2035,2485,2925,3462,3484,2836,2675,2230,2572,2534,2388,2871,3049,2934,1838,2025,2125,2787,3558
"Colombia",364,421,345,287,370,528,598,421,412,368,433,433,444,539,330,424,316,372,411,433,336,429,479,495,476
"Comoros",1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,3,0,1,1
"Congo, the Republic of the",34,27,48,51,40,36,62,64,81,71,61,76,63,49,28,32,43,36,32,32,25,43,52,35,63
"Costa Rica",19,20,11,20,20,29,31,27,29,19,31,24,33,31,21,26,26,25,37,32,25,33,32,33,32
"Cote d´Ivoire",35,18,25,39,40,39,73,67,56,83,53,75,66,59,79,67,61,47,48,38,55,31,39,26,33
"Croatia",343,101,142,134,126,124,173,135,105,154,118,136,163,377,831,1092,1019,1084,1150,884,577,509,680,491,276
"Cuba",132,97,110,120,119,121,163,146,163,158,125,123,121,137,131,118,129,116,103,118,58,91,84,69,89
"Cyprus",10,7,20,18,23,14,36,44,49,23,26,38,47,81,68,80,65,55,51,48,44,58,84,79,91
"Czech Republic",79,85,105,96,99,110,168,207,278,190,163,194,211,227,225,253,259,254,244,243,196,228,285,308,308
"Czechoslovakia",34,37,35,27,25,29,24,51,57,25,27,28,26,25,25,23,28,25,10,6,13,10,10,9,7
"Democratic Republic of the Congo",85,112,82,94,96,84,229,164,214,200,183,181,198,270,314,318,350,567,544,354,356,735,442,301,344
"Denmark",1918,2418,2969,3226,3203,3494,4365,4319,3371,3010,2732,2595,2182,2025,1776,1853,1863,1721,1706,1660,1679,1563,1563,1627,1620
"Djibouti",10,2,1,8,6,2,5,8,9,11,13,69,74,29,33,33,40,43,34,24,22,19,64,22,21
"Dominica",0,2,0,1,1,2,2,0,2,2,1,1,1,2,0,1,3,2,1,0,2,1,2,1,2
"Dominican Republic",17,36,37,38,37,44,60,44,54,49,49,27,55,53,52,39,53,54,57,64,40,39,41,42,30
"Ecuador",53,80,129,121,95,105,211,162,124,134,143,137,129,113,137,132,85,95,90,77,74,81,100,101,83
"Egypt",83,126,156,122,163,166,270,268,284,373,444,710,718,557,590,653,697,771,869,989,727,848,700,504,546
"El Salvador",35,42,41,52,52,45,100,48,62,63,72,65,86,74,73,79,72,83,95,119,115,73,60,69,44
"Equatorial Guinea",0,2,0,2,4,9,0,10,1,1,3,8,1,0,2,2,2,3,4,1,0,1,5,4,3
"Eritrea",127,130,165,236,264,554,669,725,1014,1197,1366,1744,1839,2914,5322,6838,6580,3991,3364,3446,1550,1165,1051,620,592
"Estonia",274,282,319,291,397,394,419,441,398,564,512,528,586,571,560,555,460,443,346,267,226,249,385,438,393
"Eswatini",0,0,0,0,1,2,1,2,1,1,6,3,4,2,2,4,3,1,1,2,2,3,1,1,0
"Ethiopia",260,265,248,286,361,360,578,650,739,1001,1072,766,839,889,966,947,1436,1573,1473,1136,614,666,608,588,595
"Fiji",2,3,3,2,3,2,6,3,2,6,2,1,4,4,1,4,4,3,2,8,2,9,4,2,1
"Finland",3433,3349,3262,3151,2716,2793,2553,2494,2390,2385,2264,2268,2320,2271,2573,2733,2969,2816,2499,2100,1708,1635,1747,1598,1556
"France",615,667,543,498,588,628,773,895,954,855,770,871,742,850,874,1022,1083,1198,1152,1089,908,1281,1435,1281,1210
"Gabon",0,1,0,0,2,0,0,4,3,0,2,10,3,1,1,1,2,6,1,1,3,2,1,2,3
"Gambia",169,142,127,153,134,145,199,229,277,315,353,261,303,298,290,228,249,242,229,198,159,212,242,262,259
"Gaza Strip",15,11,12,66,126,127,135,117,181,112,115,203,204,203,298,125,35,27,14,29,20,5,12,32,20
"Georgia",19,51,28,66,59,64,173,61,75,108,143,153,136,123,94,124,150,262,282,224,219,162,205,194,245
"Germany",1834,1806,1883,1998,2010,2147,3100,3745,3492,2845,2338,2355,2313,2343,2311,2428,2666,2637,2547,2614,2393,3501,4533,3795,3647
"Ghana",82,79,77,142,146,175,142,126,182,226,239,248,234,219,217,218,230,214,263,233,225,235,236,302,364
"Gibraltar",0,0,0,4,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,2,1,1,1,4,3
"Greece",317,375,385,347,313,332,472,562,669,517,602,1018,1546,1519,1243,1252,1398,1454,1220,1103,752,708,1143,1141,1030
"Grenada",5,0,2,1,2,1,2,1,4,2,1,0,3,0,0,0,0,2,1,0,1,0,2,2,0
"Guatemala",22,16,12,19,12,18,18,16,23,25,27,19,26,24,25,19,24,21,25,30,34,32,29,29,31
"Guinea",8,14,7,31,13,12,37,29,32,54,41,45,52,47,44,30,38,41,55,40,31,24,31,29,28
"Guinea-Bissau",5,7,4,5,3,3,8,1,11,5,12,2,9,7,7,7,2,8,6,11,10,11,7,16,8
"Guyana",3,3,3,7,7,3,5,3,4,6,2,3,1,5,1,0,3,7,7,3,3,5,2,7,3
