"Population aged 15-74 (LFS), 1000s by labour status, born in Sweden/foreign-born, level of education, sex and year"

"labour status","born in Sweden/foreign-born","level of education","sex","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"total","born in Sweden","All educational levels","men",2875.9,2904.0,2926.2,2945.8,2958.8,2978.0,2980.9,2976.4,2967.2,2977.2,2988.9,2990.4,2989.8,2965.5,2946.5,2939.6,2922.7,2916.1,2910.7,2908.2
"total","born in Sweden","All educational levels","women",2791.8,2800.5,2810.5,2821.3,2835.2,2839.8,2847.1,2858.7,2865.3,2852.0,2835.0,2832.1,2824.3,2833.2,2835.0,2821.3,2822.6,2814.9,2808.2,2804.3
"total","born in Sweden","All educational levels","total",5667.7,5704.5,5736.6,5767.1,5794.0,5817.7,5828.0,5835.2,5832.5,5829.2,5823.8,5822.5,5814.1,5798.7,5781.5,5760.9,5745.3,5731.0,5719.0,5712.4
"total","born in Sweden","primary and lower secondary education","men",747.2,743.8,733.4,726.0,708.3,697.6,676.6,658.7,616.4,595.2,569.3,541.6,530.7,504.8,494.1,479.0,460.1,450.0,447.1,449.8
"total","born in Sweden","primary and lower secondary education","women",639.4,616.9,599.3,598.1,577.9,561.7,541.9,513.3,490.2,456.5,429.7,418.5,407.4,380.6,372.7,355.7,351.4,333.1,334.4,332.2
"total","born in Sweden","primary and lower secondary education","total",1386.6,1360.7,1332.7,1324.1,1286.2,1259.2,1218.5,1172.0,1106.6,1051.7,999.1,960.1,938.0,885.4,866.8,834.7,811.5,783.2,781.5,782.0
"total","born in Sweden","upper secondary education","men",1315.7,1327.5,1335.4,1353.3,1379.0,1380.7,1376.3,1364.3,1366.0,1358.5,1359.8,1356.2,1353.3,1332.1,1305.5,1288.1,1275.9,1249.3,1217.4,1201.5
"total","born in Sweden","upper secondary education","women",1212.4,1222.0,1228.7,1223.8,1224.5,1216.1,1199.3,1185.4,1173.9,1155.7,1129.7,1104.2,1078.9,1055.0,1016.4,979.6,964.9,944.6,920.8,893.7
"total","born in Sweden","upper secondary education","total",2528.1,2549.5,2564.1,2577.1,2603.5,2596.8,2575.6,2549.7,2539.9,2514.2,2489.5,2460.4,2432.2,2387.1,2321.9,2267.7,2240.8,2193.9,2138.2,2095.1
"total","born in Sweden","post secondary education","men",789.7,816.0,836.8,848.8,859.0,893.8,923.9,948.7,981.6,1020.5,1054.2,1088.4,1101.6,1124.4,1140.2,1167.8,1182.7,1213.5,1242.2,1254.6
