"Number in population by employment status, grounds for settlement, number of years in Sweden, region of birth, sex, age and year"

"employment status","grounds for settlement","number of years in Sweden","region of birth","sex","age","2020","2021","2022","2023"
"total","total","total","total","total","total",6964186,6979822,7009602,7019050
"total","total","total","total","total","20-24 years",579464,578214,585492,591869
"total","total","total","total","total","25-29 years",717758,692315,666652,642641
"total","total","total","total","total","30-39 years",1398677,1437787,1475318,1496129
"total","total","total","total","total","40-49 years",1301464,1299227,1300728,1299753
"total","total","total","total","total","50-59 years",1310242,1326134,1339202,1343104
"total","total","total","total","total","60-64 years",569227,569806,575089,587195
"total","total","total","total","total","65-69 years",536735,540223,542741,543719
"total","total","total","total","total","70-74 years",550616,536117,524385,514636
"total","total","total","Sweden","total","total",5301126,5273091,5250604,5232057
"total","total","total","Sweden","total","20-24 years",440610,437429,443158,453110
"total","total","total","Sweden","total","25-29 years",550941,524452,494332,467838
"total","total","total","Sweden","total","30-39 years",961719,990908,1019134,1043070
"total","total","total","Sweden","total","40-49 years",938847,921088,903821,887631
"total","total","total","Sweden","total","50-59 years",1028117,1036254,1040372,1037014
"total","total","total","Sweden","total","60-64 years",458343,455953,456683,463490
"total","total","total","Sweden","total","65-69 years",447598,447596,446238,444124
"total","total","total","Sweden","total","70-74 years",474954,459413,446854,435782
"total","total","total","Europe, excl. Sweden","total","total",708976,715910,730458,737316
"total","total","total","Europe, excl. Sweden","total","20-24 years",34720,35126,36533,37179
"total","total","total","Europe, excl. Sweden","total","25-29 years",58772,56776,57485,57640
"total","total","total","Europe, excl. Sweden","total","30-39 years",160511,163715,167717,166940
"total","total","total","Europe, excl. Sweden","total","40-49 years",145080,149526,155776,160710
"total","total","total","Europe, excl. Sweden","total","50-59 years",134949,135894,137965,139107
"total","total","total","Europe, excl. Sweden","total","60-64 years",61578,61762,62600,64128
"total","total","total","Europe, excl. Sweden","total","65-69 years",57091,57553,58116,58185
"total","total","total","Europe, excl. Sweden","total","70-74 years",56275,55553,54257,53428
"total","total","total","Africa","total","total",189178,197462,205105,209934
"total","total","total","Africa","total","20-24 years",24972,25913,26183,24812
"total","total","total","Africa","total","25-29 years",21890,22501,23613,25613
"total","total","total","Africa","total","30-39 years",57528,59508,59793,59124
"total","total","total","Africa","total","40-49 years",43235,45586,48228,50327
"total","total","total","Africa","total","50-59 years",26756,28139,30043,31436
"total","total","total","Africa","total","60-64 years",7227,7627,8491,9193
"total","total","total","Africa","total","65-69 years",4571,4961,5200,5654
"total","total","total","Africa","total","70-74 years",3003,3226,3554,3773
"total","total","total","Asia","total","total",651690,676950,703876,718730
"total","total","total","Asia","total","20-24 years",73406,73933,73800,70976
"total","total","total","Asia","total","25-29 years",76684,79179,81868,82597
"total","total","total","Asia","total","30-39 years",189080,193301,197849,196614
"total","total","total","Asia","total","40-49 years",146398,153971,162739,170265
"total","total","total","Asia","total","50-59 years",99954,104729,109068,113167
"total","total","total","Asia","total","60-64 years",33589,35710,38345,41016
"total","total","total","Asia","total","65-69 years",20806,23113,25755,28095
"total","total","total","Asia","total","70-74 years",11772,13011,14448,16002
"total","total","total","rest of the world, incl. Soviet Union","total","total",112074,115251,118456,119940
"total","total","total","rest of the world, incl. Soviet Union","total","20-24 years",5560,5624,5636,5642
"total","total","total","rest of the world, incl. Soviet Union","total","25-29 years",9294,9224,9175,8791
"total","total","total","rest of the world, incl. Soviet Union","total","30-39 years",29514,30016,30489,30055
"total","total","total","rest of the world, incl. Soviet Union","total","40-49 years",27678,28813,29929,30588
"total","total","total","rest of the world, incl. Soviet Union","total","50-59 years",20331,20982,21627,22253
"total","total","total","rest of the world, incl. Soviet Union","total","60-64 years",8458,8726,8939,9332
"total","total","total","rest of the world, incl. Soviet Union","total","65-69 years",6642,6972,7409,7635
"total","total","total","rest of the world, incl. Soviet Union","total","70-74 years",4596,4898,5256,5638
"total","total","total","unknown","total","total",1138,1159,1108,1070
"total","total","total","unknown","total","20-24 years",197,193,177,149
"total","total","total","unknown","total","25-29 years",179,188,171,163
"total","total","total","unknown","total","30-39 years",328,340,330,323
"total","total","total","unknown","total","40-49 years",227,241,233,232
"total","total","total","unknown","total","50-59 years",142,133,131,129
"total","total","total","unknown","total","60-64 years",25,27,30,37
"total","total","total","unknown","total","65-69 years",23,29,20,21
"total","total","total","unknown","total","70-74 years",17,11,15,15
"total","total","born in Sweden","total","total","total",5301126,5273091,5250604,5232057
"total","total","born in Sweden","total","total","20-24 years",440610,437429,443158,453110
"total","total","born in Sweden","total","total","25-29 years",550941,524452,494332,467838
"total","total","born in Sweden","total","total","30-39 years",961719,990908,1019134,1043070
"total","total","born in Sweden","total","total","40-49 years",938847,921088,903821,887631
"total","total","born in Sweden","total","total","50-59 years",1028117,1036254,1040372,1037014
"total","total","born in Sweden","total","total","60-64 years",458343,455953,456683,463490
"total","total","born in Sweden","total","total","65-69 years",447598,447596,446238,444124
"total","total","born in Sweden","total","total","70-74 years",474954,459413,446854,435782
"total","total","born in Sweden","Sweden","total","total",5301126,5273091,5250604,5232057
"total","total","born in Sweden","Sweden","total","20-24 years",440610,437429,443158,453110
"total","total","born in Sweden","Sweden","total","25-29 years",550941,524452,494332,467838
"total","total","born in Sweden","Sweden","total","30-39 years",961719,990908,1019134,1043070
"total","total","born in Sweden","Sweden","total","40-49 years",938847,921088,903821,887631
"total","total","born in Sweden","Sweden","total","50-59 years",1028117,1036254,1040372,1037014
"total","total","born in Sweden","Sweden","total","60-64 years",458343,455953,456683,463490
"total","total","born in Sweden","Sweden","total","65-69 years",447598,447596,446238,444124
"total","total","born in Sweden","Sweden","total","70-74 years",474954,459413,446854,435782
"total","total","born in Sweden","Europe, excl. Sweden","total","total",0,0,0,0
"total","total","born in Sweden","Europe, excl. Sweden","total","20-24 years",0,0,0,0
"total","total","born in Sweden","Europe, excl. Sweden","total","25-29 years",0,0,0,0
"total","total","born in Sweden","Europe, excl. Sweden","total","30-39 years",0,0,0,0
"total","total","born in Sweden","Europe, excl. Sweden","total","40-49 years",0,0,0,0
"total","total","born in Sweden","Europe, excl. Sweden","total","50-59 years",0,0,0,0
"total","total","born in Sweden","Europe, excl. Sweden","total","60-64 years",0,0,0,0
"total","total","born in Sweden","Europe, excl. Sweden","total","65-69 years",0,0,0,0
"total","total","born in Sweden","Europe, excl. Sweden","total","70-74 years",0,0,0,0
"total","total","born in Sweden","Africa","total","total",0,0,0,0
"total","total","born in Sweden","Africa","total","20-24 years",0,0,0,0
"total","total","born in Sweden","Africa","total","25-29 years",0,0,0,0
"total","total","born in Sweden","Africa","total","30-39 years",0,0,0,0
"total","total","born in Sweden","Africa","total","40-49 years",0,0,0,0
"total","total","born in Sweden","Africa","total","50-59 years",0,0,0,0
"total","total","born in Sweden","Africa","total","60-64 years",0,0,0,0
"total","total","born in Sweden","Africa","total","65-69 years",0,0,0,0
"total","total","born in Sweden","Africa","total","70-74 years",0,0,0,0
"total","total","born in Sweden","Asia","total","total",0,0,0,0
"total","total","born in Sweden","Asia","total","20-24 years",0,0,0,0
"total","total","born in Sweden","Asia","total","25-29 years",0,0,0,0
"total","total","born in Sweden","Asia","total","30-39 years",0,0,0,0
"total","total","born in Sweden","Asia","total","40-49 years",0,0,0,0
"total","total","born in Sweden","Asia","total","50-59 years",0,0,0,0
"total","total","born in Sweden","Asia","total","60-64 years",0,0,0,0
"total","total","born in Sweden","Asia","total","65-69 years",0,0,0,0
"total","total","born in Sweden","Asia","total","70-74 years",0,0,0,0
"total","total","born in Sweden","rest of the world, incl. Soviet Union","total","total",0,0,0,0
"total","total","born in Sweden","rest of the world, incl. Soviet Union","total","20-24 years",0,0,0,0
"total","total","born in Sweden","rest of the world, incl. Soviet Union","total","25-29 years",0,0,0,0
"total","total","born in Sweden","rest of the world, incl. Soviet Union","total","30-39 years",0,0,0,0
"total","total","born in Sweden","rest of the world, incl. Soviet Union","total","40-49 years",0,0,0,0
"total","total","born in Sweden","rest of the world, incl. Soviet Union","total","50-59 years",0,0,0,0
"total","total","born in Sweden","rest of the world, incl. Soviet Union","total","60-64 years",0,0,0,0
"total","total","born in Sweden","rest of the world, incl. Soviet Union","total","65-69 years",0,0,0,0
"total","total","born in Sweden","rest of the world, incl. Soviet Union","total","70-74 years",0,0,0,0
"total","total","born in Sweden","unknown","total","total",0,0,0,0
"total","total","born in Sweden","unknown","total","20-24 years",0,0,0,0
"total","total","born in Sweden","unknown","total","25-29 years",0,0,0,0
"total","total","born in Sweden","unknown","total","30-39 years",0,0,0,0
"total","total","born in Sweden","unknown","total","40-49 years",0,0,0,0
"total","total","born in Sweden","unknown","total","50-59 years",0,0,0,0
"total","total","born in Sweden","unknown","total","60-64 years",0,0,0,0
"total","total","born in Sweden","unknown","total","65-69 years",0,0,0,0
"total","total","born in Sweden","unknown","total","70-74 years",0,0,0,0
"total","total","0-3 years","total","total","total",271084,248625,238898,225032
"total","total","0-3 years","total","total","20-24 years",46693,39668,34158,29138
"total","total","0-3 years","total","total","25-29 years",57814,53594,53082,50526
"total","total","0-3 years","total","total","30-39 years",97544,91785,90437,85837
"total","total","0-3 years","total","total","40-49 years",45083,41670,40591,38944
"total","total","0-3 years","total","total","50-59 years",17132,15824,14963,14757
"total","total","0-3 years","total","total","60-64 years",3619,3266,2985,2983
"total","total","0-3 years","total","total","65-69 years",2151,1876,1766,1888
"total","total","0-3 years","total","total","70-74 years",1056,946,920,967
"total","total","0-3 years","Sweden","total","total",0,0,0,0
"total","total","0-3 years","Sweden","total","20-24 years",0,0,0,0
"total","total","0-3 years","Sweden","total","25-29 years",0,0,0,0
"total","total","0-3 years","Sweden","total","30-39 years",0,0,0,0
"total","total","0-3 years","Sweden","total","40-49 years",0,0,0,0
"total","total","0-3 years","Sweden","total","50-59 years",0,0,0,0
"total","total","0-3 years","Sweden","total","60-64 years",0,0,0,0
"total","total","0-3 years","Sweden","total","65-69 years",0,0,0,0
"total","total","0-3 years","Sweden","total","70-74 years",0,0,0,0
"total","total","0-3 years","Europe, excl. Sweden","total","total",99835,97796,101761,101206
"total","total","0-3 years","Europe, excl. Sweden","total","20-24 years",12911,12836,13725,14150
"total","total","0-3 years","Europe, excl. Sweden","total","25-29 years",24225,23049,23783,23354
"total","total","0-3 years","Europe, excl. Sweden","total","30-39 years",35493,34449,35029,33704
"total","total","0-3 years","Europe, excl. Sweden","total","40-49 years",17593,17247,17999,17933
"total","total","0-3 years","Europe, excl. Sweden","total","50-59 years",6917,7312,7983,8449
"total","total","0-3 years","Europe, excl. Sweden","total","60-64 years",1401,1527,1695,1805
"total","total","0-3 years","Europe, excl. Sweden","total","65-69 years",878,926,1030,1202
"total","total","0-3 years","Europe, excl. Sweden","total","70-74 years",413,451,517,607
"total","total","0-3 years","Africa","total","total",29842,27106,24736,21771
"total","total","0-3 years","Africa","total","20-24 years",5242,4263,3670,2840
"total","total","0-3 years","Africa","total","25-29 years",5417,5053,4733,4350
