country,year,net_contribution_per_person
Afghanistan,2005,-166.0
Afghanistan,2022,-19.0
Bosnien och Hercegovina,2005,-31.0
Bosnien och Hercegovina,2022,60.0
Chile,2005,2.0
Chile,2022,30.0
Danmark,2005,-25.0
Danmark,2022,-18.0
Eritrea,2005,-7.0
Eritrea,2022,-35.0
Etiopien,2005,-8.0
Etiopien,2022,1.0
Filippinerna,2005,-24.0
Filippinerna,2022,27.0
Finland,2005,-2.0
Finland,2022,-99.0
Grekland,2005,-49.0
Grekland,2022,-5.0
Indien,2005,-8.0
Indien,2022,119.0
Irak,2005,-137.0
Irak,2022,-8.0
Iran,2005,-28.0
Iran,2022,60.0
Italien,2005,-9.0
Italien,2022,49.0
Jugoslavien,2005,-60.0
Jugoslavien,2022,-5.0
Kina,2005,-56.0
Kina,2022,32.0
Libanon,2005,-80.0
Libanon,2022,9.0
Nederländerna,2005,66.0
Nederländerna,2022,71.0
Norge,2005,-37.0
Norge,2022,-15.0
Polen,2005,-1.0
Polen,2022,36.0
Rumänien,2005,5.0
Rumänien,2022,53.0
Ryssland,2005,-70.0
Ryssland,2022,72.0
Somalia,2005,-150.0
Somalia,2022,-79.0
Storbritannien,2005,106.0
Storbritannien,2022,100.0
Syrien,2005,-89.0
Syrien,2022,-89.0
Thailand,2005,-47.0
Thailand,2022,13.0
Turkiet,2005,-67.0
Turkiet,2022,13.0
Tyskland,2005,-34.0
Tyskland,2022,-2.0
USA,2005,11.0
USA,2022,74.0
Ungern,2005,-37.0
Ungern,2022,-24.0
Vietnam,2005,-50.0
Vietnam,2022,11.0
