"Antal sysselsatta kommunmottagna flyktingar och anh�riga efter �r efter mottagning, k�n och mottagnings�r"

"�r efter mottagning","k�n","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"0 �r","totalt",240,279,211,275,279,291,320,256,449,1205,512,368,296,245,211,397,845,1183,1054,1767,2091,1067,1684,998,772,744,956
"1 �r","totalt",718,809,668,746,658,650,683,480,785,2912,1432,793,781,855,630,1359,2487,4142,4567,7618,7166,4917,3871,2096,1768,1654,..
"2 �r","totalt",1342,1713,1156,1296,1187,1203,1165,920,1363,4574,2360,1700,1369,1424,1333,2330,4393,8696,9795,15871,13840,8593,6516,3393,2700,..,..
"3 �r","totalt",2344,2440,1533,1808,1726,1753,1899,1445,1919,4943,3488,2252,1925,2085,2022,3358,6647,12422,15081,20979,17347,12294,8620,4151,..,..,..
"4 �r","totalt",3032,2862,1887,2281,2169,2548,2541,1870,1901,6337,4455,2802,2706,2894,3050,4982,8555,15324,17240,22357,22270,15184,9558,..,..,..,..
"5 �r","totalt",3522,3251,2174,2624,2843,3272,2961,1788,2295,7438,5216,3543,3568,3843,4320,6232,10186,17298,17879,27145,26742,16622,..,..,..,..,..
"6 �r","totalt",3845,3544,2344,3237,3500,3642,2841,2220,2621,8154,6008,4391,4528,5058,5085,7066,11439,17650,20638,30632,28163,..,..,..,..,..,..
"7 �r","totalt",4064,3748,2727,3741,3847,3477,3301,2552,2901,8944,6870,5285,5695,5701,5542,7534,11726,19672,23123,31602,..,..,..,..,..,..,..
"8 �r","totalt",4270,4210,3133,3999,3666,3981,3748,2794,3171,9831,7869,6418,6423,6168,5735,7607,13155,21630,23535,..,..,..,..,..,..,..,..
"9 �r","totalt",4846,4690,3338,3848,4196,4415,4022,2988,3459,10672,9003,7134,6911,6424,5706,8348,14493,22077,..,..,..,..,..,..,..,..,..
"10 �r","totalt",5270,4869,3266,4254,4555,4643,4283,3293,3726,11839,9798,7720,7349,6249,6175,9003,15112,..,..,..,..,..,..,..,..,..,..
"11 �r","totalt",5479,4639,3548,4598,4859,4991,4697,3676,4047,12561,10483,8272,7312,6598,6614,9165,..,..,..,..,..,..,..,..,..,..,..
"12 �r","totalt",5194,5030,3792,4794,5156,5324,5147,4095,4273,13120,10854,8302,7902,7034,6664,..,..,..,..,..,..,..,..,..,..,..,..
"13 �r","totalt",5628,5352,3903,5055,5516,5834,5634,4396,4482,13569,10715,9003,8508,7136,..,..,..,..,..,..,..,..,..,..,..,..,..
"14 �r","totalt",6032,5546,4183,5364,5923,6361,5940,4634,4582,13380,11425,9654,8721,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"15 �r","totalt",6213,5771,4383,5676,6391,6690,6212,4745,4599,14033,12178,9938,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"16 �r","totalt",6604,6074,4686,6138,6631,6966,6410,4807,4815,14907,12262,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"17 �r","totalt",6951,6386,4966,6464,6870,7141,6333,5045,5074,15100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"18 �r","totalt",7368,6723,5131,6674,7033,7103,6670,5340,5150,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"19 �r","totalt",7848,6952,5278,6739,6903,7401,7078,5407,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"20 �r","totalt",7953,7048,5307,6584,7162,7667,7077,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"21 �r","totalt",8040,7006,5187,6778,7354,7637,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"22 �r","totalt",7948,6811,5287,6999,7392,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"23 �r","totalt",7781,6895,5408,6923,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"24 �r","totalt",7867,7015,5320,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"25 �r","totalt",8025,6896,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"26 �r","totalt",7934,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
